0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19682.1,19779,19907.4,19659.1,19280.7,19099.7,18904.4,18922.5,19674.1,20611.3,21374.4,21645.7,21558.4,21338.8,20992.8,20776.4,20658.3,20355.9,21444,22295.8,21959.7,22432,22173.7,3127.3
6842.7,12221.6,18107.3,17500.1,16925.9,16677.3,16706.8,17307.9,19820.3,23209.2,24799,24726,24785.2,23096.4,24071.1,23900,16790.9,23249.9,24987.5,25570,24084.3,20944.2,21062.4,21454.6
20581.9,19781.1,19152.2,18675.4,18324.5,18099.2,18060.7,18679.6,21317.5,24362.6,25533.2,25643.8,24700.8,22900.2,23928.1,26177.3,25946.1,25482.2,25594.2,25327.1,24245.7,23263.6,23021.6,21624.7
21147.6,20386.7,19743.3,19029.4,18637.3,18459.3,18449.8,19084.7,21696.9,24931.8,25578.7,25642.3,24789.5,22671.5,23602.4,25810.9,25891.6,25049.1,25443.1,25568.5,24182.1,22973,22425,21816.6
20312.1,20008.5,19666.1,19133.4,18844.7,18680.1,18542.8,18358,20854.9,24282,25222.6,25151.7,24585.3,22640.8,23049.5,25038.2,25008.1,24274.8,25078,25451.3,24127.1,22808.9,22342.4,21666.1
20949.6,20446.3,19840.2,19206.1,18729.8,18387.6,18169.9,18207.3,19566.2,21805.7,22298.9,21234.8,21173,19894.2,19940.1,20103.5,20100.7,21477.5,22877.3,23439.4,22195,21403.8,20894.2,20347.1
19565.8,19015.7,18399.2,17853.6,17500.8,17335.5,17217.6,17293.1,18728.4,20683.8,22192.1,22337.9,22205.2,20527.8,20351.6,20405.4,20274.3,21362,22607.4,23389.1,22424.1,21743.8,21505.2,20745.4
19849.3,19129.5,18505.6,18042.3,17721.7,17521.5,17610.8,18122.8,20888.5,24167.8,25377.6,25600.9,24732.9,22773.2,22777.4,25362.3,25835.8,24777.5,24384.6,24405.7,23113.2,22003.4,21563,20717.2
19694.3,18760.3,18100.4,17630.8,17181.1,16988,17068.4,17639,20196.3,23291,24433.5,24685,23814.4,22442.8,23471.6,25464.6,25206.8,23619.5,23419.2,23675.7,22487.5,21620.5,21043.2,20229.1
19328,18536.6,17871.5,17325.2,16892.8,16798.1,17136,17552.8,20073.6,23025.7,24389.8,24479.6,23730.5,22168.3,22969.2,24810.9,24847.4,24040.6,24006.4,24168.5,22931.6,21888.3,21353.2,20374.9
19305,18470.9,17825.7,17188.9,16687,16450.3,16648.1,17138.6,19808.2,22623.3,23833.8,24259,23453.9,21946.3,22813.9,24879.6,24734.9,23773,23658.9,23630.3,22284.5,21163.7,20742.9,19982.9
19073.8,18364.9,17848.6,17293.7,16978.2,16830,16752.7,17051.6,19102.1,22116.5,23408.2,23676.5,23249.4,21519.1,21870.9,23549.7,23628.2,22333.5,22167.1,23548.3,22451.9,21279.5,20711.8,20049.9
19351.9,18647.3,18082.7,17071.7,16528.8,16458.3,16405.4,16678.6,18060.8,19900.1,21212,21471.5,21302.2,19656,19682.6,19346.7,19299.1,20460.3,21611.3,22265.7,21460.3,20917.6,20323.7,19484.7
18942.1,18311.3,17681.4,17168,16924.1,16780.1,16894.7,17496.6,20074.1,23044,23081.5,23191.8,22421.5,21387.7,22518.2,24730.9,24731.9,23785,23718.1,23725.8,22412.9,21572.5,21239.7,20519.2
19673.8,18874.2,18139.1,17181,17026.6,16966.7,17076.9,17626.7,20115,23229.5,24309,24531.6,23640.2,21096.5,23184.2,25209.9,25222.2,24238.2,24137,24207.7,22836.4,21877.6,21447.8,20531.2
19686.2,18830.7,18209,17784.3,17357.3,17219,17266.7,17902.8,18784.8,21752.8,23554.4,23846.7,23285.4,22159.1,23239.7,25212.7,25102.4,24393,24239.5,24277.3,22719.5,21793.7,21321.3,20473.9
19523.1,18840.1,18074.1,17506.7,17109.3,17055.9,17041.3,17626.1,19989.9,23106.9,24098.7,24284.4,23402.7,22034.4,23108.8,25119.3,24901,24028.7,23714.5,23897.5,22499.7,21672,21367.6,20602
19518.1,18771.6,18157.3,17548.2,17203.2,17288.7,17303.7,15592,15195.7,19464.8,21000.5,22426.1,23109.3,22478,23445.3,25417.8,25085.2,24182.1,23896,23937.1,22421.9,21449.7,21152.5,20402.8
19559.2,18957.7,18358.1,17759.8,17361.5,17015.9,16925.9,16970.7,18778.1,22128,23449.1,23605.1,22924.9,21216.2,21660.3,23533.9,23730.1,23014.9,23334.4,23767.7,22414.1,21391.8,21034.6,20220.2
19608.1,19074.1,18546.7,18017.3,17701.5,17403.2,17281.7,17121.4,18225,19811.2,21441.4,21518.4,21249.6,19864,19636.9,19691,19637.9,14579.4,15945.1,22326.9,21476,20923.7,20714.6,20128.2
19422.1,18727.6,18006.1,17433.3,17088,16927.7,17151,17604.2,20075.9,23026.4,23903.6,23709.8,23466.8,22273.6,23057.2,25141.3,25223.5,24316,23794.8,23864,22472.2,21478.2,21087.8,20217.2
19260.4,18691.9,18011.1,17560.9,17142.6,17246.7,17309.3,17697.5,20199.2,22964.9,23961.3,24185.7,23329.9,21639,22843.4,24988.2,24962,23932.1,23648.3,23851.6,22661,21744.4,21414.9,20482.6
19477,18740.2,18120.1,17727.1,17368.9,17248.5,17431.3,17373.6,19732.4,22806.3,24151.8,24491.3,23651.6,21082.1,22624.4,25172.9,25316,24473.2,24113.7,24452.1,23191.2,22149.1,21624.2,20811.3
19726.5,18908.2,18274.6,17788.1,17582.7,17447.2,17662,18200.2,20209.3,22480.7,23566.1,24139.4,23229.3,22078.7,22988,24927.5,25067.9,24195.2,23886.5,24219.6,22892.8,21985.2,21783.4,21021
20029.9,19157.3,18397.4,17901.9,17574.2,17518.2,17672.6,18190.2,20802.2,23573.9,24416.9,24667.4,23917.2,22058.1,23369,25344.4,25422.6,24788.8,24665.1,24911.8,23249,22051,21596.8,20891.1
19994.9,19218.2,18560,17959,17532.4,17386.1,17215.3,17273.1,18290.5,21644.4,23055,23511.1,22980.2,21337.4,21754.4,23477.4,23580.7,22795.5,23232.8,23707.5,22310.9,21230.8,20703.2,19981
19101.3,18399.3,17730.6,17179.3,16810.8,16612.4,16525.1,16620.2,17934,19840.7,21267.2,21361.7,21189.1,19902.4,19872.2,19952.2,20048,20603.5,21747.8,22540.5,21569.8,21092.7,20760,19969.7
18998.8,18228,17510.3,16981.9,16645.9,16539.2,16566.4,17167.9,19973.1,22988.8,24168.4,24455.4,23552.6,22332.3,23375.3,25114.6,24738.6,24109.3,23529.6,23729.5,22424,21581.7,21098.2,20027
18953.8,18140.6,17446.1,16858.1,16454.7,16409.2,16494.5,16514,18897,22038.6,23265.9,23580.9,22985.3,22282.1,23342,25250.2,25282.4,24497.4,23786,24067.8,22798.8,21754.9,21164.8,20150.1
18969.1,18208.8,17590.6,17059.5,16716.6,16747.7,16770.2,17470.3,19934.8,22643.6,23849.3,24174.1,23340.9,22117.3,23186.5,25140.5,25173.5,24249.1,23830.9,24119.1,22808.7,21997.4,21343.1,20313.5
19121.8,18286.4,17510,17097.1,16625.7,16566.8,16776.6,16273.5,18372.7,21607,23193.7,24266,23141.3,22163.1,23309,25295,25401.4,24387.4,23706.1,23645.5,22340.4,21456.8,20985.2,20217.2
19132.2,18328.9,17674.3,17245.5,16883.9,16879.6,16967.3,17506.2,19837.7,22780.5,23946.6,24381.8,23633.5,22505.6,23646.7,25506.2,25349.7,24446,23893.5,24396.8,23268.9,22125.7,21571.8,20850.7
19989.1,19264.8,18596.8,18046.8,17648.3,17372.8,17456.7,17564.2,19442,22840,23232.6,23739.2,23103.9,21572.1,22023.2,23917.8,23954.8,23153.1,23186.1,23495.2,22269.9,21265.2,21078.1,20396.7
19688.7,19070.9,18538.5,17853.1,17445.3,17273.4,17278.7,17117,18255.8,19892,21091.4,21173.1,20999.5,19823.4,20085.3,20123.5,19823.7,20832.4,21675.3,22596.3,21807.1,21309.5,20896.4,20213.7
19222.5,18425.1,17820.8,17350.3,17032,16926.4,17016.1,17615.2,20134.9,23137.1,24235.2,24603.3,23616.7,22449.3,23591.8,25493.6,25431.3,24367.9,23664.3,23964.2,22619.8,21799.2,21243.4,20257.4
19192.6,18408.7,17781.3,17352.4,17080.7,16870.4,16365.2,17540.8,19579.4,22197.6,23495.4,23781.6,23094.8,21964.8,23256.9,25155.6,25016.6,24123.4,23418.9,23963.8,22635.7,21573.9,21223.7,20207.4
19085.8,18341.5,17648.2,17197.1,16870.1,16869.6,16866.1,16308,18925.1,20691.2,21737.9,23026.8,23394.3,22328.8,23534.5,25478.7,24620,23096.5,23632.4,24125.2,23064.9,21960.5,21378.2,20346.2
19357.1,18526.4,17833.7,17223.6,16885.9,16796.1,16883.7,17431.6,19908.6,22925,23788.3,24125.9,23293.4,22314.4,23347.6,25227.9,25148.4,24180.1,23532.1,24020.9,22794.2,21927.6,21306.9,20315.8
19340.3,18463.8,17804.6,17331,17054.8,17050.1,17179,15362.9,17433.3,20517.2,21622.5,21934.4,21493.8,22583.5,23820.6,25723.9,25555.2,24632.7,24026.2,24326.4,23019.1,21953.1,21366,20591.5
19676.1,18972.9,18318.9,17676,17248,16944.3,17093.9,17435.2,19217.6,22188.9,23440.8,23721.8,23191.4,21427.8,21846,23692.1,23719.6,23008.4,23199.2,23686.4,21756.1,20675.8,20364.3,19573.3
18952,18232.9,17626.3,17042.1,16795.4,16592,16473.5,16346.4,17583.2,19318,20664.3,20838.2,20638.1,19517.3,19907.3,20009.1,19964,20969.7,21537.9,22543.3,21801.4,21306.8,21059.1,20113.1
19173.2,18393.9,17729.4,17370,17163.6,17092.7,17126.7,17801,20284.1,23042.1,24086.2,24650.2,23591.4,22404.2,23506.7,25631.2,25479.8,24600.8,23968.8,24124.9,22944.5,22026.2,21573,20546.9
19456.3,18485.4,17844.1,17271.1,16973.4,16915.4,17041.2,17665.8,20085.9,22917.9,24012.4,24391.3,23497,22563.6,23623.7,25471.2,24776.3,24079.8,23789.1,24289.9,23073.4,22185.6,21864.3,20802.3
19745.3,18899.3,18339.7,17848.7,17509.1,17441.4,17420.4,18001.4,20179.8,22882.8,23964.7,24515.6,23776.6,22735,23635.4,25714,25813.5,24964.4,24304.8,24933.4,23742.9,22747.2,22174.8,21075.8
19864.4,19017.1,18438.4,17824.6,17411.3,17290,17301.3,18039.1,20666.3,23754.7,24705.1,24962.7,24144.6,23202,24149.7,25941.7,25963.8,25309.2,24663.5,24891.4,23719.8,22717,21662.9,20580.4
19683.6,18687.5,18101.9,17533.1,17147.9,17050,17092,17585.5,20144.6,23279.5,24399,24726.2,23910.3,23138.5,24076,26126.9,25946.6,25016.4,24363.1,24812.4,23554.8,22351.3,21895,21072.1
20111.6,19313.5,18520,17960.5,17382.7,17229.3,17132.1,17653.7,19655.4,22692.6,23907.6,24151.4,23694.2,22253,22731.5,24630.1,24640.7,23696,23924,24527.5,23254.7,22234.8,21895.8,21108.7
20426.2,19678.4,18898.4,18005.9,17014.8,17684.5,17467.8,17609.2,18932.4,20819.8,22106.6,22314.3,22116.1,20923.1,21093.1,21117.3,21016.6,21755.5,22447.8,23606.8,22980.5,22678.2,22410,21585.9
20656.4,19832.8,19081.3,18520.7,18109.8,17968.3,17820.7,17690.3,21136.5,24522.6,25791.7,26354.2,25491.7,24329.8,25271,27191.3,26974.2,26048.6,25206.8,25563.7,24193.1,23245,22679.8,21624.3
20503,19640.8,19000.9,18429.4,18089.7,17904.8,17874,16401.4,19202.7,21357.3,23076,24762.8,23868.5,22526.9,24172.8,25645.5,24991.1,24239.1,23820.3,24192.4,23180.9,21996.5,21356.5,20428.7
19424.3,18623.9,17961.5,17266.7,16813.1,16781,16890.9,17642.1,19577.9,21796.4,22167.3,22502.9,21523.5,20266.3,21188.9,22990.7,23137.8,22879.5,22662.3,23173.5,22032.6,21131.2,20613.2,19713.6
18787.8,18140.5,17622.7,17176.2,16945.3,17045,17212.7,18043.3,18712.9,22695.2,24392.9,24765.4,23793.4,22342.3,23332.7,25513.9,25279.8,24512.7,24024.6,24528.8,23157,22132.2,21102.4,20065.3
19071.2,18228,17578.9,17138.4,16830.1,16865.5,16919.7,17498.9,19655.1,22874.9,24190.8,24233.2,23497.1,22464.3,23312.1,25416.6,25232.9,24701,24082.4,24499.6,23132.6,22063.6,21509.4,20751.6
19949.5,19193.2,18676.8,17974.3,17721.7,17626,17633,18032.2,19643.9,22538.9,22345.2,22858.7,22846.7,21609.6,22111.9,24074.2,24343.7,23680.9,23633.4,24060.3,22700,21670.8,21421.8,20813.2
18610.4,18570.6,17953.6,18090.7,17570.5,17293.3,16979,17008,18416.7,20067.3,21251.3,21337.2,21201.8,19912.8,19969.9,20084.8,20104.6,21149.6,21815.1,22755.9,22086.5,21620,21243.7,20511.9
19715.5,18971,18300.8,17732.3,14855.3,17187.9,17122.6,17847.7,20013.6,23041.8,24415.1,24380.9,23281.6,21996.8,22934.3,25222.4,24687.4,24271.5,23380.9,23900,22474,21690.1,21159.3,20269.3
19185.4,17186.5,16756.2,16994.8,16810.2,16611.1,16548.6,17624.7,18387.9,21413.9,23308.6,24297.5,23418.5,22217.9,23068.9,25194.5,25293.3,24368.6,23650.6,24165.7,22901.4,21860,21461.4,20588.7
19466.6,18621.4,17831.3,17498.5,17176.3,17172.6,17254.1,18090.3,20340.5,23153,23966.8,22352.8,22755.9,20969.8,16013.1,22349.5,22425.7,21465.3,21376.5,23732.1,22591,21634.8,20974,19807.9
18683.9,18022.6,17332,16967.7,16695.1,16722.4,16895.7,17320.6,19694.4,22380.4,23494,23750.1,22483.4,20963.4,23086.3,25338.1,25042,24351.9,23493.9,24109.4,22800.6,21738.8,21049.9,20084.9
19084,18359.9,17698,17137.4,16897.6,17022.2,17046.7,17859.1,20279.7,23027.5,22687.8,24184.3,23869.8,22880.1,23933.6,25991.6,25864.5,24933.6,24144.9,24596.6,23260.6,22282,21849.5,21027.4
20168.2,19444.4,18817.6,18350.6,18015.5,17783.3,17620.6,17935,19697.5,22503.2,23716.7,23678.4,23042.7,21605.5,21963.7,23839.4,23646.2,22987.8,23208,23706.1,22625.8,21599.8,21133.3,20499.4
19786.8,19162.1,18686.1,18176.6,17839.1,17528.2,17140.4,17124.7,18065.8,19817.8,20223.6,20557.3,20510.4,19378.3,19391.2,8987.9,18860,20126.7,20890.2,22060.7,21444.3,20926.7,20523.9,19114.2
18060,17545.7,17630.8,17166.2,16870.3,16970.6,16996.6,17615,20110.3,22909.2,24411.3,24906.8,23821.9,22912.3,23991.2,25846,25826.6,24961.6,24235.8,24659.3,23369.7,22461.8,21892,20828.1
19789.8,18920.6,18286.2,17846.8,17376.9,17257.7,17132.3,17771,20361.2,23249.6,24231.8,24246.3,23216.1,22489.7,23567.1,25553.8,25634.2,24678.7,24017.9,24146.8,22962.1,22075,21619.6,20585.2
19533.2,18638.2,17970.6,17471.9,17140.6,17147.3,16746.2,17102.5,18916.1,21721.2,22857.2,23633.9,23003,22038,22979.6,25169.5,25338.1,24747.4,23690.7,23449.4,21578,21727.9,21147.9,20067.7
19156.5,18371.8,17813.9,17292.2,16941.1,16877.8,16821.1,17798.2,20224.9,23174.3,24208.9,24509,23869.2,22803.3,23841.5,25779.2,25759.3,24810.2,23975.7,24295.5,22814.9,21987.8,21465.2,20429.3
19454.8,18693.9,17951,17414.4,17073.6,17045.5,17006.1,17823.6,20433.2,23686.3,24867.4,25040.3,24156.6,23178.8,24216.9,26078.8,25787.5,24981.3,24208.5,24451,22924.1,21848,21470.1,20647.8
19870.5,19143.9,18448.5,17636.2,11466.7,14771.1,15572.3,16590.4,19167.3,22532.3,23808.7,24109.1,23495.4,21875.1,22281.3,24156.1,24138.1,23340.3,23351.3,23938.9,22686.3,21569.2,21059.6,20382.2
19668.9,19056.4,18467.7,17816.2,17419.6,17272.2,16981.3,17291,18574.7,20482.7,21848.4,21887,21708.2,20365.4,20509,20563,20679.3,21838.3,22469.4,23508.1,22700,22055.9,21452.6,20701.8
19851,19276.8,18626,18105.1,17890.4,17883.9,17655.5,18403.2,21135,24013.7,25097.2,25406.2,24499.1,23465.4,24603.4,26645,26468.8,25501,24413.7,24787.5,23681.6,22822.3,22138,20933.3
19858.5,19044.2,18296.4,17641.4,17213,17136.5,17150.8,18041,20583.4,23163.1,24303.4,24920.9,23771.9,22842.7,23958.6,25892.7,25970.3,25031,24167.2,24645.8,23504.2,22601.1,21845.9,20707.4
19710,18951,18221.2,17657.4,17321.8,17223.4,17056.9,17959.9,19137.6,21552.5,22459.7,24374.6,23428.1,22417.2,23773,25692,25491,24712.2,23942.5,24263.2,23073.3,22290.4,21522.2,20377.9
19125.9,18324.1,17701.7,17218.8,16805.1,16735.4,16614.1,17526.3,20184.5,23210.6,24444.6,24690.4,23581,22806.1,23968.1,25866.9,25686.2,24786.8,23848.6,24525.7,23553,22681.7,21971.4,20866.4
19983.4,19259.9,18749.2,18322.2,18001.8,17928.1,17844,18825.7,21169.6,23801.9,25162.2,25308.8,24448.1,23648.1,24594.3,26689.5,26607.1,25681.4,24918.8,25200.8,23911.5,22727.8,22225.1,21405.9
20588.3,19863,19250.8,18682.6,18368.6,18115,18052.2,18490.5,20298.2,23425.7,24287.6,24275.6,23422.4,21639.6,22305.4,24445.5,24650.8,23975.7,23778.3,24436.1,22727.9,21308.2,21269,20612.9
19908.1,19240.9,18650.8,17991,17546,17351.9,16980.7,17337,18649.9,20268.1,21375.2,21572.7,21341.9,20010.4,20018.3,20290.6,20391.7,21280.4,21756.7,22581.1,21801.7,21415.4,21043.6,20258.3
19456.1,18777.5,18250.6,17805.4,17481.6,17497.7,17339.1,18302,20925.9,23923.4,25136.2,25568.2,24673.2,23513.1,24328.7,25924.5,25902.1,24933.6,24000.1,24420,23065.5,22273.5,21789.8,20788.1
19735.1,18876.4,18255.1,17799.7,17484.7,17266.4,17120.1,18122.3,20722.4,23865.7,24958.3,25479.9,24096.2,23343.1,24613.2,26442,26294.9,25455.8,24627.3,24521.8,23324.5,22653.9,22098.7,21047.4
19563.7,18879,18684,18162.2,17830.7,17657.4,17616.7,18688,21258.8,24067.3,24579,24988.5,24093.7,23149.8,24841.3,26382.5,26077,25420.7,24821.5,25060.4,24008.6,23141.5,22194.7,20628.8
20106.4,19336.2,18578.6,18076.4,17579.1,17509.1,17339.8,18544.7,21006.8,23723.6,24858.2,25456.6,24568,23609.5,24728.7,26518.9,26589.7,25842.9,24870.6,25395.6,24028.6,22727.8,22170,21031.7
19958,19074.4,18288.3,17676.9,17279.8,17349.8,17392.7,18611.4,21143.7,24162.2,25370,25333,23380.5,21541.5,22319.8,24943.1,25155.8,24284.2,23589.9,23788.1,22502.9,21440.9,20736.4,19885.1
19089.5,18222.1,17532.4,17010.4,16675.6,16480.2,16407.6,17260.1,19610.2,22457.7,23946.3,24185.4,23399.3,22040.1,22585.1,24299.4,24481.8,23958.7,23923.2,24354.5,22847.1,21700.7,21331.4,20830
20178.4,19463.2,18830.1,18246.3,17892.4,17588,17109.3,17690.3,19135.9,21160.4,22574.7,22662,22404.6,21002.4,21101.5,21355,21387.2,22496.2,23043.6,23175.4,22411.4,22184.3,21816.1,21166.1
20549.2,19820.6,19220.8,18520.1,18181.9,17937.3,17403.2,17924.2,19150.1,21246.6,22773.6,23023.2,22749.5,21162.5,21194.6,21203.1,21206.2,22307.3,22783.4,23897.5,23061.2,22388.4,22077,21227
20409.8,19709.3,19021.4,18434.8,17989.7,17877.9,17759.7,18953.7,21684.4,24659.2,25831.2,26138.5,25367.8,24366.5,25456,27274.1,26916.4,26006.2,25150.2,25620,24253,23116.8,22476.9,21431.2
20254,19527.5,18889.5,18364.1,18006.6,17847.6,17594.1,18923.8,21496.4,24533.4,25684,26098.3,25187.6,24280.2,25308.3,27105.3,27158.4,26314.2,25541.1,25965.6,24638.2,23656.9,23056.2,21671.6
20572.4,19726.7,19093.4,18589.7,18192.1,18072.1,18032,19260.1,21673.4,24892.5,26055.3,26547.8,25515.1,24561.1,25759.8,27306.2,26571.2,25892.7,25048.5,25414.3,24215,23060.5,21705.3,21471.2
20346.2,19474.6,18783.4,18367,17926.1,17872.9,16916.8,17605.9,18709.6,21693.5,22702.6,23657.2,22502.6,21396.7,22749.3,24944.2,24839.8,24085.1,23162.7,23562.5,22317.1,21277.1,20940.4,20450.3
19612.2,18799.2,18144.7,17615,17320.1,17204.2,17025.1,17770.3,20037.1,23021,24127.8,23865.4,23694.2,22701,23240.5,24976.5,25011.1,24312.9,24149.4,24982.6,23328.4,21987.7,21570.6,20944.1
20209.9,19379.9,18681.1,18179.8,17807.2,17432.1,16951,17623.2,18930.2,21059.8,22298,22830.1,22853.3,21588.9,21767.6,21742.1,21653.3,22688.1,23006.1,24046.9,23256.1,22690.6,22373.4,21568.4
20716.9,19952.9,19271.5,18657.7,18317,18227.9,17990.6,18651,20412.5,22472.3,23174.8,23818.7,23297.5,22797,22771.2,26004.8,26178.5,25627.5,24777.2,25260.3,24157.5,23248.2,21850.9,20496.4
