D;S;W
16914.06674;88.52286522;3958.93017
17801.20487;2231.475918;4050.560914
19749.61117;4911.052894;4332.751485
23021;7059.572094;4177.44253
24862.12435;8481.843039;4276.508967
22931.53652;9132.903789;4061.138574
23333.63609;9570.284335;3796.3036
23727.48;9489.389243;3046.853843
22149.20696;8543.891103;2676.292598
25519.46739;6458.0544;2937.352604
26087.66474;4374.210858;3182.796313
22410.1513;1683.377828;3081.001306
25377.86948;30.1348487;3929.320138
22701.58;0;4337.379798
24697.67565;0;4758.071387
23211.3633;0;6067.90427
19976.2513;0;7064.753342
19141.08617;0;6181.84409