mean;1
4518.912;1840.610888
4723.348136;1884.829431
4765.637141;1970.156688
4728.527889;2071.534717
4552.293261;2093.090594
3919.940667;2023.098657
3807.799443;1985.65701
3995.535766;1984.603826
4205.263275;1956.115098
4819.112757;1887.396226
4653.5775;1818.013588
3479.721243;1777.075899
4209.952162;1751.42681
3071.057823;1726.901264
2822.037689;1696.580004
2863.611535;1679.553501
3384.49604;1768.477868
3690.491583;1902.803247
4307.294036;1989.524149
4037.414958;2037.769185
5683.849983;2056.591577
6885.668083;2034.332264
5786.017135;1960.398095
5383.73192;1858.9517