0;6;12;18
0;;;
0;;;
0;;;
0;;;
0;;;
0;;;
88.83265652;88.52286522;;
2204.143755;2231.475918;;
5055.495626;4911.052894;;
7376.268926;7059.572094;;
8574.237843;8481.843039;;
9582.599141;9132.903789;;
9226.993296;9570.284335;9628.895;
9420.91742;9489.389243;9191.335422;
8754.403289;8543.891103;8347.897;
7236.4806;6458.0544;6700.23144;
4634.176878;4374.210858;4342.186059;
1574.920636;1683.377828;1765.866397;
33.04404174;30.1348487;30.31324261;31.68550348
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0