S;D;W
0;21457.20147;6680.8505
0;19997.58235;8267.061088
0;20053.76618;5985.800044
0;20627.37941;5912.365471
0;19010.57206;3738.899588
0;20010.74118;6972.114338
121.4796176;17623.10441;6517.681926
1421.020735;19938.47353;6174.251485
4261.585971;20585.04559;5527.550485
6683.898397;23434.94118;8939.326735
7967.062662;23328.84559;8862.300294
8667.545529;22227.73676;6372.970191
8742.177868;21878.56176;5440.115162
8415.655691;22693.78676;6420.067088
7679.634985;22411.28235;3240.945294
6054.380721;22967.18088;8317.474324
3715.712221;22769.49706;6366.061221
1529.087147;23275.02647;7739.820529
81.76504412;22530.05294;5523.243412
0;24903.85441;6572.102574
0;22922.30294;6860.913206
0;24227.29265;8113.95675
0;22221.05882;5007.248471
0;23862.36471;5439.688853